Date,chanNum,Depth,Screws
20210212,146,0,0
20210212,147,0,0
20210212,148,0,0
20210212,149,0,0
20210212,150,0,0
20210212,151,0,0
20210212,152,0,0
20210212,153,0,0
20210212,154,0,0
20210212,155,0,0
20210212,156,0,0
20210212,157,0,0
20210212,158,0,0
20210212,159,0,0
20210212,160,0,0
20210213,1,0,0
20210213,2,0,0
20210213,3,0,0
20210213,4,61,0
20210213,5,70.25,0
20210213,6,71.75,0
20210213,7,63.5,0
20210213,8,73,0
20210213,9,58,0
20210213,10,31,0
20210213,11,30,0
20210213,12,30.5,0
20210213,13,57,0
20210213,14,51,0
20210213,15,61,0
20210213,16,61,0
20210213,17,68,0
20210213,18,55,0
20210213,19,40,0
20210213,20,44,0
20210213,21,49,0
20210213,22,32.25,0
20210213,23,29.25,0
20210213,24,54.5,0
20210213,25,77,0
20210213,26,76.5,0
20210213,27,76,0
20210213,28,70.75,0
20210213,29,98,1
20210213,30,76.75,1.75
20210213,31,77.75,1.75
20210213,32,79.25,0
20210213,33,65,0
20210213,34,65.5,0
20210213,35,23.5,0
20210213,36,70,0
20210213,37,70,0
20210213,38,101,0
20210213,39,70,0
20210213,40,107.25,0
20210213,41,70,0
20210213,42,68,0
20210213,43,75,0
20210213,44,65,0
20210213,45,71,0
20210213,46,43,0
20210213,47,27,0
20210213,48,72,0
20210213,49,84,0
20210213,50,90,0
20210213,51,75,0
20210213,52,75,0
20210213,53,68.5,0
20210213,54,59.5,0
20210213,55,69,0
20210213,56,60.75,0
20210213,57,69,0
20210213,58,68,0
20210213,59,41,0
20210213,60,26,0
20210213,61,98,0
20210213,62,74.5,0
20210213,63,123.75,0
20210213,64,86,0
20210213,65,76,0
20210213,66,70,0
20210213,67,67,0
20210213,68,69,0
20210213,69,67,0
20210213,70,67.5,1.5
20210213,71,44,0
20210213,72,30,0
20210213,73,64,0
20210213,74,74,0
20210213,75,76,0
20210213,76,64,0
20210213,77,72,0
20210213,78,74,0
20210213,79,75.5,0
20210213,80,71,0
20210213,81,76.5,0
20210213,82,66.5,0
20210213,83,63.75,1.75
20210213,84,31.25,0
20210213,85,87.25,0
20210213,86,77,0
20210213,87,77.25,0
20210213,88,93,0
20210213,89,77.75,0
20210213,90,76,0
20210213,91,72,0
20210213,92,66,0
20210213,93,54,0
20210213,94,61,0
20210213,95,34,0
20210213,96,59,0
20210213,97,81,0
20210213,98,74.75,0
20210213,99,78.75,0
20210213,100,80.5,0
20210213,101,76,0
20210213,102,74,0
20210213,103,70.5,0
20210213,104,61,0
20210213,105,55.25,0
20210213,106,31.5,0
20210213,107,56,0
20210213,108,70,0
20210213,109,70,0
20210213,110,79,0
20210213,111,68,0
20210213,112,77.75,0
20210213,113,71,0
20210213,114,64.25,0
20210213,115,69,0
20210213,116,29,0
20210213,117,46.5,0
20210213,118,38,0
20210213,119,63,0
20210213,120,65,0
20210213,121,69.5,0
20210213,122,69,0
20210213,123,65,0
20210213,124,55,0
20210213,125,65,0
20210213,126,28,0
20210213,127,70,0
20210213,128,64,0
20210213,129,63.5,0
20210213,130,67.5,0
20210213,131,67,0
20210213,132,73,1.75
20210213,133,58.75,0
20210213,134,104,0
20210213,135,29,0
20210213,136,60.5,0
20210213,137,65,0
20210213,138,62,0
20210213,139,58.25,0
20210213,140,64,0
20210213,141,59,0
20210213,142,59.75,0
20210213,143,58,0
20210213,144,28,0
20210213,145,0,0
20210213,146,0,0
20210213,147,0,0
20210213,148,0,0
20210213,149,0,0
20210213,150,0,0
20210213,151,0,0
20210213,152,0,0
20210213,153,0,0
20210213,154,0,0
20210213,155,0,0
20210213,156,0,0
20210213,157,0,0
20210213,158,0,0
20210213,159,0,0
20210213,160,0,0
20210215,1,0,0
20210215,2,0,0
20210215,3,0,0
20210215,4,61,0
20210215,5,70.25,0
20210215,6,71.75,0
20210215,7,63.5,0
20210215,8,73,0
20210215,9,58,0
20210215,10,31,0
20210215,11,30,0
20210215,12,30.5,0
20210215,13,57,0
20210215,14,51,0
